datetime;open;high;low;close;volume
2024-03-11 16:30:00;172.82500;172.98000;172.050003;172.39000;3959687
2024-03-11 15:30:00;172.67799;173.32961;172.53999;172.82001;5493373
2024-03-11 14:30:00;173.34891;173.64000;172.28999;172.67310;7509998
2024-03-11 13:30:00;173.25;174.25;172.83000;173.35001;17506196
2024-03-08 20:30:00;171.41000;171.73280;170.72000;170.74001;8836925
2024-03-08 19:30:00;173.47000;173.70000;171.34500;171.39999;8844545
2024-03-08 18:30:00;172.23500;173.5;172.089996;173.47000;7762851
2024-03-08 17:30:00;172.72000;172.78999;171.71001;172.23000;6861688
2024-03-08 16:30:00;171.62000;172.77000;170.92999;172.71500;10400918
2024-03-08 15:30:00;171.78000;172.050003;171.020004;171.62000;9142498
2024-03-08 14:30:00;169;171.84900;168.94000;171.78000;16160343
2024-03-07 20:30:00;169.61501;169.66000;168.89999;168.98000;7405147
2024-03-07 19:30:00;170.089996;170.44000;169.60049;169.61011;6424710
2024-03-07 18:30:00;169.63000;170.73000;169.55000;170.10001;9957544
2024-03-07 17:30:00;169.17000;169.64999;168.99001;169.625;5894598
2024-03-07 16:30:00;169.28999;169.60001;168.92000;169.16000;6669342
2024-03-07 15:30:00;168.98000;169.53000;168.61000;169.28000;8612815
2024-03-07 14:30:00;169.14999;169.78000;168.49001;168.97000;15511305
2024-03-06 20:30:00;169.0099945;169.39500;168.87000;169.12000;21763488
2024-03-06 19:30:00;169.11000;169.24001;168.70000;169;4147280
2024-03-06 18:30:00;169.99500;170.044998;168.67999;169.10001;4963027
2024-03-06 17:30:00;170.17500;170.35001;169.91000;169.99150;3526171
2024-03-06 16:30:00;169.77499;170.30000;169.33501;170.17990;5004145
2024-03-06 15:30:00;169.59000;170.050003;169.27000;169.78000;6772639
2024-03-06 14:30:00;170.42999;171.070007;168.92999;169.58000;20056778
2024-03-05 20:30:00;169.99001;170.20000;169.83000;170.17000;32406499
2024-03-05 19:30:00;170.049896;170.24831;169.78999;169.98000;5324135
2024-03-05 18:30:00;170.46001;170.47200;169.94000;170.044006;5130323
2024-03-05 17:30:00;170.78500;170.82870;170.14999;170.47000;4315788
2024-03-05 16:30:00;170.41499;170.89500;169.86000;170.78500;5238898
2024-03-05 15:30:00;169.92000;170.82001;169.62000;170.42000;12208620
2024-03-05 14:30:00;171;171.97000;169.89999;169.91000;28565817
2024-03-04 20:30:00;175.44501;175.5;174.95000;175.089996;28556615
2024-03-04 19:30:00;174.35629;175.64500;174.35500;175.44000;5373792
2024-03-04 18:30:00;173.89999;174.50500;173.79500;174.35001;4710827
2024-03-04 17:30:00;174.63000;174.67999;173.79010;173.90500;4979309
2024-03-04 16:30:00;174.82001;175.0050049;174.0099945;174.62700;5211390
2024-03-04 15:30:00;174.19000;175.020004;173.89999;174.81500;9118400
2024-03-04 14:30:00;175.80000;176.83000;173.92999;174.17000;24053178
2024-03-01 20:30:00;179.67999;179.80000;179.41499;179.64000;5971790
2024-03-01 19:30:00;180.20000;180.20500;179.55000;179.67999;6521136
2024-03-01 18:30:00;178.70500;180.22000;178.56000;180.20000;7669052
2024-03-01 17:30:00;178.042206;178.80000;177.95000;178.70010;6896281
2024-03-01 16:30:00;178.25;178.25;177.38000;178.039993;8174426
2024-03-01 15:30:00;178.31000;178.47000;177.67000;178.23000;18570130
2024-03-01 14:30:00;180.44000;180.53000;178.29601;178.30850;13634967
2024-02-29 20:30:00;180.58501;181.11000;179.57001;180.77000;13220925
2024-02-29 19:30:00;180.12000;180.70000;179.86000;180.58501;6246756
2024-02-29 18:30:00;180.38000;180.49001;179.67999;180.11000;6547702
2024-02-29 17:30:00;179.82001;180.80000;179.64999;180.38000;7795890
2024-02-29 16:30:00;180.42500;180.42999;179.53000;179.82001;8149732
2024-02-29 15:30:00;181.62531;181.71001;180.42000;180.42999;7277897
2024-02-29 14:30:00;182;182.36000;181.28999;181.62000;12685419
2024-02-28 20:30:00;180.83501;181.47000;180.83501;181.42000;5579634
2024-02-28 19:30:00;180.60500;180.86000;180.35001;180.83501;4490821
2024-02-28 18:30:00;180.61000;180.92999;180.53011;180.61990;3681788
2024-02-28 17:30:00;180.70470;180.70470;180.13000;180.60220;5735191
2024-02-28 16:30:00;181.62000;181.67000;180.60001;180.70100;6240997
2024-02-28 15:30:00;181.16000;181.76500;180.96001;181.60150;5720266
2024-02-28 14:30:00;182.50999;183.12000;181.11000;181.16000;11442944
2024-02-27 20:30:00;182.60001;182.75;182.28000;182.63000;6563443
2024-02-27 19:30:00;182.59790;183.92250;182.17999;182.60500;12441282
2024-02-27 18:30:00;180.070007;182.60001;179.56000;182.60001;10154303
2024-02-27 17:30:00;180.68500;180.78999;180.040100;180.065399;3614103
