datetime;open;high;low;close
2025-06-27 05:00:00;107567.88;107618.24;107322.6;107322.6
2025-06-27 04:00:00;107538.5;107643.37;107418.11;107563.8
2025-06-27 03:00:00;107304.04;107584.24;107217.95;107538.51
2025-06-27 02:00:00;107175.35;107347.46;107100.01;107304.04
2025-06-27 01:00:00;106743.79;107277.71;106465.81;107175.34
2025-06-27 00:00:00;107029.63;107245.56;106707;106743.79
2025-06-26 23:00:00;107041.56;107134.01;106923.04;107029.64
2025-06-26 22:00:00;107073.31;107297.59;107000;107041.56
2025-06-26 21:00:00;107829.87;107851.84;106838.41;107073.3
2025-06-26 20:00:00;107584.75;108058.94;107501.47;107829.87
2025-06-26 19:00:00;107433.01;107723.31;107355.58;107584.79
2025-06-26 18:00:00;107249.96;107654.74;107179.42;107433
2025-06-26 17:00:00;107258.08;107489.83;107186.82;107245.29
2025-06-26 16:00:00;107366.24;107468.09;107051.8;107256.16
2025-06-26 15:00:00;107496.91;107587.7;106605.88;107366.24
2025-06-26 14:00:00;106989.85;107823.59;106914.01;107494.52
2025-06-26 13:00:00;107161.81;107401.37;106850;106989.35
2025-06-26 12:00:00;107375.52;107481.33;107088;107161.82
2025-06-26 11:00:00;107439.58;107467.5;107163.03;107374.17
2025-06-26 10:00:00;107385.02;107527.35;107295.01;107439.57
2025-06-26 09:00:00;107818.89;107855.88;107340;107385.02
2025-06-26 08:00:00;107888.4;108238.78;107766.19;107818.87
2025-06-26 07:00:00;107811.44;108160.38;107804.57;107890.24
2025-06-26 06:00:00;107690.02;107889;107607.47;107811.44
2025-06-26 05:00:00;107901.25;107901.25;107576.75;107690.02
2025-06-26 04:00:00;107934.28;108026.37;107753.03;107901.26
2025-06-26 03:00:00;107990.89;108345;107845.27;107928.17
2025-06-26 02:00:00;107696.21;108113.72;107629.49;107990.89
2025-06-26 01:00:00;107389.61;107948.53;107166.22;107696.21
2025-06-26 00:00:00;107400.22;107682.38;107313.44;107389.59
2025-06-25 23:00:00;107346.73;107454.75;107151.06;107400.22
2025-06-25 22:00:00;107629.79;107641.22;107276.44;107346.74
2025-06-25 21:00:00;107844.23;108091.8;107510.01;107629.79
2025-06-25 20:00:00;107834.02;107943.88;107550.92;107846.37
2025-06-25 19:00:00;107490.82;107993.02;107457.97;107836
2025-06-25 18:00:00;107465.33;107621.78;107240.03;107492
2025-06-25 17:00:00;107213.4;107611.36;106983.26;107465.34
2025-06-25 16:00:00;107101.15;107593.16;107040.04;107213.41
2025-06-25 15:00:00;107703;107721.03;106818.83;107101.15
2025-06-25 14:00:00;107989.97;108206;107290.35;107703
2025-06-25 13:00:00;107291.51;108184.86;107206.06;107995.47
2025-06-25 12:00:00;107252.05;107343.35;106976.5;107291.51
2025-06-25 11:00:00;107190.29;107286.5;106929.25;107252.04
2025-06-25 10:00:00;106706.83;107245.83;106615.79;107190.29
2025-06-25 09:00:00;106696;107035.04;106515.38;106706.82
2025-06-25 08:00:00;106657.77;106735.9;106390.27;106688
2025-06-25 07:00:00;106460.71;106771.22;106373.42;106657.35
2025-06-25 06:00:00;106273.62;106522.74;106186.91;106460.71
2025-06-25 05:00:00;106256.06;106464.1;106090.88;106270.77
2025-06-25 04:00:00;106301.44;106396.45;106055.7;106256.06
2025-06-25 03:00:00;106537.55;106672;106282.51;106301.44
2025-06-25 02:00:00;106446.56;106865.31;106356.01;106537.56
2025-06-25 01:00:00;106451.88;106672.06;106074.24;106447.15
2025-06-25 00:00:00;106141.01;106528.51;105875;106451.89
2025-06-24 23:00:00;106073.9;106157.7;105820.01;106141
2025-06-24 22:00:00;106033.75;106097.12;105784.63;106074
2025-06-24 21:00:00;106142.37;106168.96;105779.8;106032
2025-06-24 20:00:00;105704.5;106178.39;105500;106145.65
2025-06-24 19:00:00;105587.41;105744.01;105330;105710.77
2025-06-24 18:00:00;106123.57;106170.47;105583.97;105584.69
2025-06-24 17:00:00;106289.26;106366.29;105675.66;106123.58
2025-06-24 16:00:00;105300.01;106343.47;105234.99;106284.58
2025-06-24 15:00:00;105588.52;105812.65;105201.01;105300
2025-06-24 14:00:00;105134.95;105737.96;104985.71;105588.51
2025-06-24 13:00:00;105262.41;105452;104851.26;105134.95
2025-06-24 12:00:00;105240.53;105375.48;105018.9;105262.41
2025-06-24 11:00:00;105340.16;105493.52;105064.02;105240.53
2025-06-24 10:00:00;105273.31;105432.6;105137.98;105339.02
2025-06-24 09:00:00;105079.95;105650.79;105035.01;105273.31
2025-06-24 08:00:00;104994.68;105247.35;104681.83;105079.95
2025-06-24 07:00:00;105738.62;105859.84;104949.01;104997.25
2025-06-24 06:00:00;105477.4;105916.27;105312.11;105738.63
2025-06-24 05:00:00;104898.61;105503.38;104898.61;105477.4
2025-06-24 04:00:00;104993.13;105041.34;104773.8;104898.61
2025-06-24 03:00:00;104841.97;105208.29;104772.91;104996.12
2025-06-24 02:00:00;105521.23;105521.23;104797.52;104841.98
2025-06-24 01:00:00;105206.89;105575.59;105038.74;105526.17
2025-06-24 00:00:00;105418.4;105586.21;104972.5;105207.66
2025-06-23 23:00:00;105629.69;105770.66;105186.92;105419.39
2025-06-23 22:00:00;103763.02;106135.47;103763;105631.9
2025-06-23 21:00:00;103801.44;104293.28;103703.36;103762.97
2025-06-23 20:00:00;103245.73;103994.99;102943.24;103801.43
2025-06-23 19:00:00;103010.25;103420;102731.69;103243.85
2025-06-23 18:00:00;102553.58;103377.99;102450.54;103004.67
2025-06-23 17:00:00;100743.41;102764.45;100528.82;102553.58
2025-06-23 16:00:00;101479.84;101509.81;99677.07;100743.4
2025-06-23 15:00:00;101679.48;102109.52;101351.27;101479.84
2025-06-23 14:00:00;102407.01;102662.55;101548;101679.47
2025-06-23 13:00:00;101714.14;102521.28;100835.89;102398.63
2025-06-23 12:00:00;101328.54;101727.27;101144.35;101717.62
2025-06-23 11:00:00;101499.88;101611.96;101140.81;101328.51
2025-06-23 10:00:00;101594.97;101624.76;101235.46;101499.77
2025-06-23 09:00:00;101903.31;101917.33;101420.43;101594.96
2025-06-23 08:00:00;101976.06;102118.65;101781.89;101903.31
2025-06-23 07:00:00;101982.51;102177.39;101786.47;101976.06
2025-06-23 06:00:00;101805.41;102111.2;101674.93;101977.08
2025-06-23 05:00:00;101220.21;101885.91;101220.2;101804.66
2025-06-23 04:00:00;101199.99;101363.67;101020.2;101215.05
2025-06-23 03:00:00;101326.53;101407.85;101111.58;101200
2025-06-23 02:00:00;101142.61;101431.81;100958.03;101326.54
2025-06-23 01:00:00;100959.18;101155.12;100588.66;101150.06
2025-06-23 00:00:00;100996.87;101682.99;100522.05;100959.18
2025-06-22 23:00:00;101016.54;101086.49;100684.93;100996.87
2025-06-22 22:00:00;99212.39;101016.54;99153.84;101016.54
2025-06-22 21:00:00;99570.29;99698.6;99039.29;99214.23
2025-06-22 20:00:00;98914.75;99791.35;98225.01;99566.57
2025-06-22 19:00:00;99463.75;99492.3;98825.46;98914.74
2025-06-22 18:00:00;99521.3;99823.5;99379;99463.75
2025-06-22 17:00:00;99700.98;100400.74;99450;99521.3
2025-06-22 16:00:00;98948.54;99725;98700.01;99698.88
2025-06-22 15:00:00;99660.81;99847.38;98948.54;98950.3
2025-06-22 14:00:00;100879.85;101270.22;99100.01;99660.81
2025-06-22 13:00:00;102779.21;102840;100312.1;100883.33
2025-06-22 12:00:00;102765.4;102859.11;102591.09;102779.22
2025-06-22 11:00:00;102525.15;102800.32;102457.65;102765.41
2025-06-22 10:00:00;102232.82;102573.96;102179.75;102525.15
2025-06-22 09:00:00;102741.4;102840;102111.8;102232.26
2025-06-22 08:00:00;102465.65;102743.94;102338.03;102741.71
2025-06-22 07:00:00;102782.98;102805.14;102300.01;102468.55
2025-06-22 06:00:00;102887.35;102990.17;102728.23;102782.97
2025-06-22 05:00:00;102582.1;102966.95;102582.1;102890.06
2025-06-22 04:00:00;102416.01;102825.36;102289.93;102582.11
2025-06-22 03:00:00;102381.13;102653.01;102161.34;102416.01
2025-06-22 02:00:00;102429.26;102935.07;101916.42;102381.14
2025-06-22 01:00:00;102898.38;103052.57;102261.29;102433.19
2025-06-22 00:00:00;102160.36;103417;101870.48;102908.7
2025-06-21 23:00:00;101810.08;102335.29;100919.19;102160.03
2025-06-21 22:00:00;101479.07;102034.33;101447.53;101810.83
2025-06-21 21:00:00;102794.98;102856.23;101126;101479.07
2025-06-21 20:00:00;102267.48;102913.52;102219.1;102795.05
2025-06-21 19:00:00;102684.19;102786.48;102217.08;102272.72
2025-06-21 18:00:00;103209.11;103461.51;102625;102684.2
2025-06-21 17:00:00;103512.11;103632.93;103172.32;103209.11
2025-06-21 16:00:00;103587.05;103686.64;103462.51;103512.74
2025-06-21 15:00:00;103584.37;103717.61;103307.32;103587.05
2025-06-21 14:00:00;103595.87;103799.99;103411.37;103584.37
2025-06-21 13:00:00;103826.05;103900.27;103562.7;103595.86
2025-06-21 12:00:00;103897.18;103968.39;103767.24;103826.04
2025-06-21 11:00:00;103861.26;103950.95;103750.01;103897.18
2025-06-21 10:00:00;103866.35;104013.64;103790.65;103861.26
2025-06-21 09:00:00;103836.14;103978.93;103678.92;103870.29
2025-06-21 08:00:00;103475.27;103850.65;103475.27;103836.14
2025-06-21 07:00:00;103603.88;103609.71;103394.24;103475.28
2025-06-21 06:00:00;103456.22;103637.07;103345.47;103603.89
2025-06-21 05:00:00;103414.87;103523.24;103370.98;103451.68
2025-06-21 04:00:00;103514.96;103556.56;103354;103414.89
2025-06-21 03:00:00;103528.67;103722.23;103512.47;103515.31
2025-06-21 02:00:00;103550.77;103569.77;103394.16;103528.67
2025-06-21 01:00:00;103280.04;103550.78;103163.95;103546.9
2025-06-21 00:00:00;103317.79;103366.66;103133.91;103280.05
2025-06-20 23:00:00;103127.22;103359.99;102980;103317.8
2025-06-20 22:00:00;103547.81;103553.92;102994.52;103127.23
2025-06-20 21:00:00;103721.36;103756.62;103363.16;103540.59
2025-06-20 20:00:00;103326.33;103843.48;103304.47;103721.31
2025-06-20 19:00:00;103196.06;103524.99;103003.24;103326.33
2025-06-20 18:00:00;103283.32;103455.28;103050;103197.42
2025-06-20 17:00:00;103682.18;103785.18;102357.25;103283.32
2025-06-20 16:00:00;104244.15;104289.97;103631.71;103692.21
2025-06-20 15:00:00;103929.88;104650.13;103890.21;104244.14
2025-06-20 14:00:00;105682.03;105822.82;103864.03;103928.42
2025-06-20 13:00:00;106001.43;106167.9;105388.89;105686
